JOURNAL,full.name,previous.name,JCRrank,JCRyear
Mediators Inflamm,MEDIATORS OF INFLAMMATION,,2,2018
Neurotox Res,NEUROTOXICITY RESEARCH,,2,2018
Int Arch Occup Environ Health,INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,,2,2018
Sleep,SLEEP,,1,2018
J Autoimmun,JOURNAL OF AUTOIMMUNITY,,1,2018
Transplantation,TRANSPLANTATION,,1,2018
Leukemia,LEUKEMIA,,1,2018
Environ Health Perspect,ENVIRONMENTAL HEALTH PERSPECTIVES,,1,2018
Int J Epidemiol,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,,1,2018
Alzheimers Res Ther,Alzheimers Research & Therapy,,1,2018
Hum Genomics,Human Genomics,,3,2018
Mol Autism,Molecular Autism,,1,2018
Int J Med Sci,International Journal of Medical Sciences,,2,2018
Fertil Steril,FERTILITY AND STERILITY,,1,2018
Nat Hum Behav,Nature Human Behaviour,,1,2018
Nat Neurosci,NATURE NEUROSCIENCE,,1,2018
J Clin Med,Journal of Clinical Medicine,,1,2018
Am J Cardiol,AMERICAN JOURNAL OF CARDIOLOGY,,2,2018
Lung Cancer,LUNG CANCER,,1,2018
Int J Neuropsychopharmacol,INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,,1,2018
Maturitas,MATURITAS,,1,2018
Oral Dis,ORAL DISEASES,,1,2018
Immunogenetics,IMMUNOGENETICS,,3,2018
Anesthesiology,ANESTHESIOLOGY,,1,2018
Prostaglandins Leukot Essent Fatty Acids,PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,,3,2018
J Speech Lang Hear Res,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,,2,2018
Depress Anxiety,DEPRESSION AND ANXIETY,,1,2018
J Transl Med,Journal of Translational Medicine,,2,2018
J Gastroenterol Hepatol,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,,2,2018
Br J Dermatol,BRITISH JOURNAL OF DERMATOLOGY,,1,2018
Mayo Clin Proc,MAYO CLINIC PROCEEDINGS,,1,2018
Muscle Nerve,MUSCLE & NERVE,,3,2018
J Atheroscler Thromb,Journal of Atherosclerosis and Thrombosis,,2,2018
Viral Immunol,VIRAL IMMUNOLOGY,,4,2018
Mol Biol (Mosk),MOLECULAR BIOLOGY,,4,2018
Parkinsonism Relat Disord,PARKINSONISM & RELATED DISORDERS,,1,2018
Exp Mol Med,EXPERIMENTAL AND MOLECULAR MEDICINE,,1,2018
Int J Eat Disord,INTERNATIONAL JOURNAL OF EATING DISORDERS,,1,2018
Chin Med J (Engl),CHINESE MEDICAL JOURNAL,,3,2018
Am J Hematol,AMERICAN JOURNAL OF HEMATOLOGY,,1,2018
Cell Metab,Cell Metabolism,,1,2018
Mol Pain,Molecular Pain,,3,2018
Am J Hypertens,AMERICAN JOURNAL OF HYPERTENSION,,2,2018
Mol Biol Rep,MOLECULAR BIOLOGY REPORTS,,3,2018
J Neurovirol,JOURNAL OF NEUROVIROLOGY,,3,2018
Am Heart J,AMERICAN HEART JOURNAL,,2,2018
Pancreatology,PANCREATOLOGY,,2,2018
Psychophysiology,PSYCHOPHYSIOLOGY,,1,2018
Arthritis Rheumatol,Arthritis & Rheumatology,,1,2018
Chem Senses,CHEMICAL SENSES,,2,2018
Genomics,GENOMICS,,2,2018
PLoS Pathog,PLoS Pathogens,,1,2018
JAMA Neurol,JAMA Neurology,,1,2018
Radiother Oncol,RADIOTHERAPY AND ONCOLOGY,,1,2018
Front Public Health,Frontiers in Public Health,,2,2018
J Occup Health,JOURNAL OF OCCUPATIONAL HEALTH,,3,2018
Mitochondrion,MITOCHONDRION,,2,2018
Respir Res,RESPIRATORY RESEARCH,,2,2018
Pain,PAIN,,1,2018
J Vasc Surg,JOURNAL OF VASCULAR SURGERY,,1,2018
Int J Cardiol,INTERNATIONAL JOURNAL OF CARDIOLOGY,,2,2018
Diabetes Care,DIABETES CARE,,1,2018
Exp Clin Psychopharmacol,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,,3,2018
Burns,BURNS,,2,2018
Am J Perinatol,AMERICAN JOURNAL OF PERINATOLOGY,,3,2018
Pediatr Cardiol,PEDIATRIC CARDIOLOGY,,3,2018
BMC Pulm Med,BMC Pulmonary Medicine,,3,2018
J Genet Genomics,Journal of Genetics and Genomics,,1,2018
Acta Neuropathol,ACTA NEUROPATHOLOGICA,,1,2018
J Crohns Colitis,Journal of Crohns & Colitis,,1,2018
Int J Mol Sci,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,,2,2018
Acta Ophthalmol,ACTA OPHTHALMOLOGICA,,1,2018
J Expo Sci Environ Epidemiol,Journal of Exposure Science and Environmental Epidemiology,,1,2018
Mol Genet Metab Rep,Molecular Genetics and Metabolism Reports,,3,2018
J Endocrinol Invest,JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,,2,2018
EBioMedicine,EBioMedicine,,1,2018
Eur J Endocrinol,EUROPEAN JOURNAL OF ENDOCRINOLOGY,,1,2018
Biomolecules,Biomolecules,,1,2018
Genes Nutr,Genes and Nutrition,,2,2018
J Sex Med,Journal of Sexual Medicine,,1,2018
J Periodontal Res,JOURNAL OF PERIODONTAL RESEARCH,,1,2018
Medicine (Baltimore),MEDICINE,,2,2018
Front Psychiatry,Frontiers in Psychiatry,,2,2018
JAMA Dermatol,JAMA Dermatology,,1,2018
J Interferon Cytokine Res,JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,,4,2018
Brain Behav,Brain and Behavior,,3,2018
Environ Int,ENVIRONMENT INTERNATIONAL,,1,2018
Ann Allergy Asthma Immunol,ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,,2,2018
Thromb Haemost,THROMBOSIS AND HAEMOSTASIS,,1,2018
Br J Psychiatry,BRITISH JOURNAL OF PSYCHIATRY,,1,2018
PeerJ,PeerJ,,2,2018
Ophthalmic Genet,OPHTHALMIC GENETICS,,4,2018
Genetics,GENETICS,,2,2018
Melanoma Res,MELANOMA RESEARCH,,2,2018
NPJ Genom Med,npj Genomic Medicine,,1,2018
Curr Alzheimer Res,Current Alzheimer Research,,2,2018
Bioinformatics,BIOINFORMATICS,,1,2018
Can J Surg,CANADIAN JOURNAL OF SURGERY,,2,2018
Allergol Int,ALLERGOLOGY INTERNATIONAL,,2,2018
Metab Syndr Relat Disord,Metabolic Syndrome and Related Disorders,,4,2018
Blood Press,BLOOD PRESSURE,,3,2018
Microbiome,Microbiome,,1,2018
JCI Insight,JCI Insight,,1,2018
Respir Med,RESPIRATORY MEDICINE,,2,2018
Nat Med,NATURE MEDICINE,,1,2018
Int J Sports Physiol Perform,International Journal of Sports Physiology and Performance,,1,2018
Eur Neuropsychopharmacol,EUROPEAN NEUROPSYCHOPHARMACOLOGY,,1,2018
Biol Pharm Bull,BIOLOGICAL & PHARMACEUTICAL BULLETIN,,4,2018
J Dermatol Sci,JOURNAL OF DERMATOLOGICAL SCIENCE,,1,2018
Mutagenesis,MUTAGENESIS,,2,2018
Eur Urol,EUROPEAN UROLOGY,,1,2018
Mol Neurodegener,Molecular Neurodegeneration,,1,2018
Front Neurol,Frontiers in Neurology,,2,2018
Allergy Asthma Immunol Res,Allergy Asthma & Immunology Research,,1,2018
Thyroid,THYROID,,1,2018
Clin Orthop Relat Res,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,,1,2018
Med Sci Monit,MEDICAL SCIENCE MONITOR,,3,2018
Clin Genet,CLINICAL GENETICS,,1,2018
Br J Cancer,BRITISH JOURNAL OF CANCER,,1,2018
J Eur Acad Dermatol Venereol,JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,,1,2018
Genome Biol Evol,Genome Biology and Evolution,,2,2018
Gynecol Oncol,GYNECOLOGIC ONCOLOGY,,1,2018
J Adv Res,Journal of Advanced Research,,1,2018
Ann Dermatol,Annals of Dermatology,,3,2018
Clin Chim Acta,CLINICA CHIMICA ACTA,,1,2018
Balkan J Med Genet,Balkan Journal of Medical Genetics,,4,2018
Front Hum Neurosci,Frontiers in Human Neuroscience,,2,2018
Biomed Environ Sci,BIOMEDICAL AND ENVIRONMENTAL SCIENCES,,3,2018
Antivir Ther,ANTIVIRAL THERAPY,,3,2018
Eur J Drug Metab Pharmacokinet,EUROPEAN JOURNAL OF DRUG METABOLISM AND PHARMACOKINETICS,,4,2018
Br J Clin Pharmacol,BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,,1,2018
Cancer Epidemiol,Cancer Epidemiology,,2,2018
Prostate,PROSTATE,,2,2018
J Korean Neurosurg Soc,Journal of Korean Neurosurgical Society,,3,2018
Biogerontology,BIOGERONTOLOGY,,2,2018
Can Respir J,Canadian Respiratory Journal,,4,2018
Scand J Gastroenterol,SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY,,4,2018
Exp Eye Res,EXPERIMENTAL EYE RESEARCH,,1,2018
Alzheimers Dement (Amst),Alzheimers & Dementia,,1,2018
Brain Lang,BRAIN AND LANGUAGE,,1,2018
Calcif Tissue Int,CALCIFIED TISSUE INTERNATIONAL,,2,2018
Transfusion,TRANSFUSION,,2,2018
Int J Genomics,International Journal of Genomics,,3,2018
J Rheumatol,JOURNAL OF RHEUMATOLOGY,,2,2018
J Cereb Blood Flow Metab,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,,1,2018
Blood Cells Mol Dis,BLOOD CELLS MOLECULES AND DISEASES,,3,2018
Pain Res Manag,Pain Research & Management,,4,2018
Mol Nutr Food Res,MOLECULAR NUTRITION & FOOD RESEARCH,,1,2018
Front Mol Neurosci,Frontiers in Molecular Neuroscience,,2,2018
Eur J Cancer Prev,EUROPEAN JOURNAL OF CANCER PREVENTION,,3,2018
J Antimicrob Chemother,JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,,1,2018
Int J Rheum Dis,International Journal of Rheumatic Diseases,,4,2018
Environ Health,Environmental Health,,1,2018
PLoS Med,PLOS MEDICINE,,1,2018
Bone Marrow Transplant,BONE MARROW TRANSPLANTATION,,1,2018
J Orthop Res,JOURNAL OF ORTHOPAEDIC RESEARCH,,1,2018
Am J Transplant,AMERICAN JOURNAL OF TRANSPLANTATION,,1,2018
Turk J Pediatr,TURKISH JOURNAL OF PEDIATRICS,,4,2018
J Mol Cell Cardiol,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,,1,2018
Diabetes Res Clin Pract,DIABETES RESEARCH AND CLINICAL PRACTICE,,2,2018
Lancet Psychiatry,Lancet Psychiatry,,1,2018
Int J Paediatr Dent,International Journal of Paediatric Dentistry,,2,2018
Lancet Infect Dis,LANCET INFECTIOUS DISEASES,,1,2018
Cephalalgia,CEPHALALGIA,,1,2018
Allergy,ALLERGY,,1,2018
Br J Sports Med,BRITISH JOURNAL OF SPORTS MEDICINE,,1,2018
J Am Heart Assoc,Journal of the American Heart Association,,1,2018
Gut Liver,Gut and Liver,,3,2018
Eur J Obstet Gynecol Reprod Biol,European Journal of Obstetrics & Gynecology and Reproductive Biology,,3,2018
J Neurol Neurosurg Psychiatry,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,,1,2018
J Gastroenterol,JOURNAL OF GASTROENTEROLOGY,,1,2018
Clin Gastroenterol Hepatol,Clinical Gastroenterology and Hepatology,,1,2018
Physiol Genomics,PHYSIOLOGICAL GENOMICS,,2,2018
Reprod Sci,Reproductive Sciences,,2,2018
Front Immunol,Frontiers in Immunology,,2,2018
Genome Biol,GENOME BIOLOGY,,1,2018
Int Clin Psychopharmacol,INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY,,3,2018
Int J Psychophysiol,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,,2,2018
Pediatr Res,PEDIATRIC RESEARCH,,1,2018
J Mol Med (Berl),JOURNAL OF MOLECULAR MEDICINE-JMM,,1,2018
Cell Syst,Cell Systems,,1,2018
BMJ Open,BMJ Open,,2,2018
Brain Behav Immun,BRAIN BEHAVIOR AND IMMUNITY,,1,2018
Exp Dermatol,EXPERIMENTAL DERMATOLOGY,,2,2018
Biomark Med,Biomarkers in Medicine,,3,2018
Mol Neurobiol,MOLECULAR NEUROBIOLOGY,,1,2018
J Shoulder Elbow Surg,JOURNAL OF SHOULDER AND ELBOW SURGERY,,1,2018
AIDS Res Hum Retroviruses,AIDS RESEARCH AND HUMAN RETROVIRUSES,,3,2018
Cancer Discov,Cancer Discovery,,1,2018
BMC Complement Altern Med,BMC Complementary and Alternative Medicine,,2,2018
Oncol Lett,Oncology Letters,,4,2018
Nutr Res Pract,Nutrition Research and Practice,,4,2018
High Alt Med Biol,HIGH ALTITUDE MEDICINE & BIOLOGY,,3,2018
Heredity (Edinb),HEREDITY,,2,2018
Ann Am Thorac Soc,Annals of the American Thoracic Society,,2,2018
Transfus Med Hemother,TRANSFUSION MEDICINE AND HEMOTHERAPY,,2,2018
Biol Sport,BIOLOGY OF SPORT,,2,2018
Acta Diabetol,ACTA DIABETOLOGICA,,3,2018
J Med Virol,JOURNAL OF MEDICAL VIROLOGY,,3,2018
BMC Cancer,BMC CANCER,,3,2018
Pediatrics,PEDIATRICS,,1,2018
Support Care Cancer,SUPPORTIVE CARE IN CANCER,,1,2018
Am J Gastroenterol,AMERICAN JOURNAL OF GASTROENTEROLOGY,,1,2018
Int Arch Allergy Immunol,INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY,,3,2018
Arthritis Care Res (Hoboken),ARTHRITIS CARE & RESEARCH,,1,2018
Epilepsy Res,EPILEPSY RESEARCH,,3,2018
Neurogastroenterol Motil,NEUROGASTROENTEROLOGY AND MOTILITY,,1,2018
Pigment Cell Melanoma Res,Pigment Cell & Melanoma Research,,1,2018
Eur Psychiatry,EUROPEAN PSYCHIATRY,,1,2018
Osteoporos Int,OSTEOPOROSIS INTERNATIONAL,,2,2018
Mol Brain,Molecular Brain,,2,2018
